New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z,P_term_vel_x,I_term_vel_x,D_term_vel_x,error_vel_x,d_error_vel_x,desired_pitch_angle,actual_vel_x
94.101736000,0.000290000,0.189972,43,78.895462,42147,-0.0010,-0.218,2.241,0.934,0.004,0.021,-0.017,-0.090,-0.023,0.098,0.175,-0.211,0.033,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004
94.110232000,0.008786000,0.199738,43,110.729706,42148,-0.0013,-0.218,2.242,0.934,0.004,0.018,-0.016,-0.089,-0.025,0.097,0.143,-0.193,0.007,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004
94.122310000,0.020864000,0.209778,43,117.771759,42149,0.0020,-0.217,2.242,0.933,0.004,0.017,-0.015,-0.089,-0.025,0.096,0.119,-0.151,-0.019,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004
94.128453000,0.027007000,0.218536,43,82.843178,42150,-0.0026,-0.217,2.242,0.933,0.005,0.017,-0.015,-0.087,-0.025,0.095,0.140,-0.130,-0.034,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005
94.141141000,0.039695000,0.229340,43,162.999191,42151,0.0019,-0.217,2.242,0.933,0.008,0.017,-0.016,-0.084,-0.028,0.095,0.174,-0.146,-0.036,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008
94.164706000,0.063260000,0.239777,43,78.858131,42152,0.0131,-0.217,2.242,0.933,0.010,0.019,-0.019,-0.082,-0.029,0.095,0.182,-0.146,-0.026,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010
94.170819000,0.069373000,0.248962,43,42.448425,42153,-0.0031,-0.217,2.243,0.933,0.012,0.020,-0.022,-0.080,-0.028,0.093,0.190,-0.094,-0.064,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012
94.171095000,0.069649000,0.259888,43,163.746521,42154,-0.0107,-0.217,2.243,0.932,0.012,0.019,-0.024,-0.079,-0.027,0.092,0.158,-0.035,-0.072,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012
94.181771000,0.080325000,0.269989,43,3690.036865,42155,0.0006,-0.217,2.243,0.932,0.013,0.019,-0.025,-0.081,-0.026,0.091,0.077,-0.001,-0.084,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013
94.194052000,0.092606000,0.279999,43,93.694366,42156,0.0023,-0.216,2.243,0.932,0.013,0.017,-0.025,-0.081,-0.025,0.090,0.043,0.034,-0.089,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013
94.200958000,0.099512000,0.289917,43,81.473030,42157,-0.0030,-0.216,2.243,0.931,0.013,0.016,-0.027,-0.083,-0.023,0.090,-0.020,0.055,-0.075,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013
94.222306000,0.120860000,0.289917,0,144.906540,0,0,-0.216,2.243,0.931,0.013,0.016,-0.027,-0.083,-0.023,0.090,-0.020,0.055,-0.075,0.000,0.000,0.000,1500,1500,900,1500,0.000,0.000,0.000,0,82,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013
94.243939000,0.142493000,0.299744,43,144.906540,42158,0.0331,-0.216,2.243,0.931,0.013,0.015,-0.029,-0.085,-0.022,0.088,-0.062,0.070,-0.083,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013
94.252863000,0.151417000,0.309784,43,23.270426,42159,-0.0011,-0.216,2.243,0.931,0.013,0.016,-0.032,-0.088,-0.022,0.089,-0.118,0.066,-0.040,-1.161,1.027,0.142,1500,1500,900,1500,0.000,0.000,0.000,1,82,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013
