New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z,P_term_vel_x,I_term_vel_x,D_term_vel_x,error_vel_x,d_error_vel_x,desired_pitch_angle
111.458873000,0.000301000,0.177734,43,116.063141,7051,0.0040,-0.135,2.230,0.833,-0.011,-0.019,-0.003,0.072,-0.055,0.086,0.085,0.014,0.052,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.469076000,0.010504000,0.189819,43,84.932899,7052,-0.0019,-0.135,2.230,0.833,-0.011,-0.018,-0.003,0.074,-0.053,0.089,0.090,0.036,0.086,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.479933000,0.021361000,0.199585,43,98.058441,7053,0.0011,-0.135,2.230,0.833,-0.011,-0.018,-0.005,0.075,-0.052,0.091,0.102,0.057,0.119,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.487374000,0.028802000,0.209717,43,92.165901,7054,-0.0027,-0.135,2.229,0.833,-0.010,-0.016,-0.006,0.076,-0.051,0.091,0.090,0.060,0.100,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.503220000,0.044648000,0.219238,43,134.480911,7055,0.0063,-0.135,2.229,0.832,-0.009,-0.018,-0.007,0.075,-0.051,0.091,0.059,0.050,0.075,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.510719000,0.052147000,0.229614,43,63.127327,7056,-0.0029,-0.135,2.229,0.832,-0.008,-0.020,-0.008,0.075,-0.051,0.091,0.034,0.038,0.047,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.518350000,0.059778000,0.240112,43,133.457901,7057,-0.0029,-0.135,2.229,0.832,-0.007,-0.022,-0.007,0.072,-0.051,0.091,-0.036,0.045,0.049,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.527661000,0.069089000,0.249756,43,131.130341,7058,-0.0003,-0.135,2.228,0.832,-0.006,-0.021,-0.007,0.071,-0.050,0.091,-0.050,0.048,0.027,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.542028000,0.083456000,0.259888,43,107.469101,7059,0.0042,-0.135,2.228,0.832,-0.004,-0.019,-0.008,0.071,-0.050,0.090,-0.037,0.043,0.005,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.549043000,0.090471000,0.269531,43,69.637886,7060,-0.0026,-0.135,2.228,0.832,-0.004,-0.015,-0.011,0.073,-0.050,0.090,0.007,0.018,-0.014,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.564090000,0.105518000,0.279663,43,142.653351,7061,0.0049,-0.135,2.228,0.832,-0.003,-0.015,-0.012,0.074,-0.050,0.091,0.041,0.013,0.033,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
111.573232000,0.114660000,0.289795,43,66.484940,7062,-0.0010,-0.135,2.228,0.832,-0.003,-0.013,-0.012,0.075,-0.049,0.093,0.042,0.039,0.066,-0.084,2.774,1.049,1500,1500,900,1500,0.000,0.000,0.000,1,79,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
