New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z
173.432673000,0.007224000,0.320312,43,101.481628,57329,0.0014,-0.110,2.487,0.892,-0.043,-0.030,0.021,-0.093,-0.021,0.046,-0.280,0.022,-0.038,-0.107,2.861,1.050,1500,1500,900,1500,0.000,0.000,0.000,1,75,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
173.446633000,0.021184000,0.330078,43,86.169754,57330,0.0042,-0.111,2.487,0.892,-0.044,-0.031,0.020,-0.096,-0.020,0.045,-0.287,0.032,-0.067,-0.109,2.488,0.991,1493,1522,950,1506,0.002,0.002,0.124,1,75,0,0.000,0.000,0.044,0.044,0.002,0.002,0.099
173.457114000,0.031665000,0.340332,43,71.669174,57331,0.0002,-0.111,2.486,0.893,-0.044,-0.034,0.021,-0.100,-0.019,0.043,-0.304,0.043,-0.078,-0.109,2.488,0.991,1493,1522,1000,1506,0.005,0.004,0.247,1,75,0,0.000,0.000,0.044,0.044,0.003,0.002,0.099
173.464731000,0.039282000,0.350586,43,95.483627,57332,-0.0026,-0.112,2.486,0.893,-0.045,-0.036,0.022,-0.106,-0.019,0.043,-0.370,0.046,-0.061,-0.109,2.488,0.991,1492,1522,1050,1506,0.008,0.006,0.370,1,75,0,0.000,0.000,0.045,0.045,0.003,0.002,0.098
173.468260000,0.042811000,0.359863,43,131.388779,57333,-0.0058,-0.112,2.485,0.893,-0.053,-0.039,0.023,-0.116,-0.016,0.044,-0.545,0.092,-0.021,-0.109,2.488,0.991,1492,1526,1100,1506,0.012,0.009,0.493,1,75,0,0.000,0.000,0.053,0.053,0.004,0.003,0.098
173.479376000,0.053927000,0.370117,43,283.848999,57334,0.0009,-0.113,2.485,0.893,-0.053,-0.044,0.021,-0.125,-0.015,0.042,-0.632,0.102,-0.075,-0.109,2.488,0.991,1491,1526,1150,1505,0.017,0.012,0.615,1,75,0,0.000,0.000,0.053,0.053,0.004,0.004,0.098
173.487515000,0.062066000,0.379883,43,90.025208,57335,-0.0016,-0.113,2.484,0.894,-0.051,-0.043,0.024,-0.127,-0.018,0.044,-0.527,0.008,0.010,-0.109,2.488,0.991,1491,1525,1200,1506,0.022,0.016,0.737,1,75,0,0.000,0.000,0.051,0.051,0.005,0.004,0.098
173.501333000,0.075884000,0.390137,43,122.955856,57336,0.0036,-0.114,2.484,0.894,-0.050,-0.041,0.026,-0.130,-0.020,0.047,-0.467,-0.039,0.079,-0.109,2.488,0.991,1491,1525,1250,1506,0.027,0.021,0.859,1,75,0,0.000,0.000,0.050,0.050,0.005,0.004,0.097
173.509300000,0.083851000,0.400391,43,72.411293,57337,-0.0023,-0.114,2.484,0.894,-0.050,-0.039,0.029,-0.134,-0.020,0.050,-0.442,-0.034,0.132,-0.109,2.488,0.991,1491,1524,1300,1507,0.033,0.025,0.980,1,75,0,0.000,0.000,0.050,0.050,0.006,0.005,0.097
173.520862000,0.095413000,0.410156,43,125.612358,57338,0.0018,-0.115,2.483,0.895,-0.053,-0.039,0.030,-0.139,-0.018,0.053,-0.471,0.010,0.173,-0.109,2.488,0.991,1491,1526,1350,1507,0.039,0.030,1.101,1,75,0,0.000,0.000,0.053,0.053,0.007,0.005,0.097
173.528359000,0.102910000,0.420410,43,86.557602,57339,-0.0028,-0.116,2.483,0.895,-0.054,-0.041,0.027,-0.144,-0.016,0.056,-0.465,0.065,0.189,-0.109,2.488,0.991,1491,1527,1400,1508,0.046,0.036,1.222,1,75,0,0.000,0.000,0.054,0.054,0.007,0.005,0.096
173.538411000,0.112962000,0.430176,43,133.529175,57340,0.0003,-0.116,2.482,0.895,-0.055,-0.043,0.027,-0.147,-0.014,0.058,-0.448,0.097,0.193,-0.109,2.488,0.991,1490,1527,1450,1508,0.054,0.042,1.342,1,75,0,0.000,0.000,0.055,0.055,0.008,0.006,0.096
173.550430000,0.124981000,0.439941,43,99.532196,57341,0.0022,-0.117,2.482,0.895,-0.051,-0.046,0.028,-0.150,-0.013,0.058,-0.397,0.114,0.158,-0.109,2.488,0.991,1490,1525,1500,1508,0.062,0.048,1.462,1,75,0,0.000,0.000,0.051,0.051,0.008,0.006,0.096
173.561280000,0.135831000,0.450195,43,83.257011,57342,0.0006,-0.117,2.481,0.896,-0.047,-0.052,0.026,-0.154,-0.010,0.053,-0.407,0.152,-0.016,-0.109,2.488,0.991,1488,1523,1550,1507,0.071,0.055,1.582,1,75,0,0.000,0.000,0.047,0.047,0.008,0.007,0.096
173.570351000,0.144902000,0.459961,43,92.208389,57343,-0.0007,-0.117,2.481,0.896,-0.042,-0.053,0.025,-0.156,-0.009,0.052,-0.341,0.142,-0.021,-0.109,2.488,0.991,1488,1521,1600,1507,0.079,0.063,1.701,1,75,0,0.000,0.000,0.042,0.042,0.009,0.008,0.095
173.579489000,0.154040000,0.469727,43,110.326569,57344,-0.0006,-0.117,2.480,0.896,-0.035,-0.052,0.023,-0.157,-0.007,0.052,-0.302,0.154,-0.029,-0.109,2.488,0.991,1488,1517,1650,1507,0.088,0.071,1.820,1,75,0,0.000,0.000,0.035,0.035,0.009,0.008,0.095
173.589967000,0.164518000,0.479980,43,109.493050,57345,0.0002,-0.117,2.480,0.896,-0.027,-0.051,0.021,-0.159,-0.004,0.051,-0.255,0.182,-0.050,-0.109,2.488,0.991,1488,1513,1700,1507,0.097,0.080,1.939,1,75,0,0.000,0.000,0.027,0.027,0.009,0.009,0.095
173.611962000,0.186513000,0.490234,43,95.510986,57346,0.0117,-0.117,2.479,0.896,-0.018,-0.048,0.019,-0.161,-0.001,0.050,-0.246,0.219,-0.059,-0.109,2.488,0.991,1489,1509,1750,1506,0.106,0.089,2.058,1,75,0,0.000,0.000,0.018,0.018,0.009,0.009,0.095
173.623417000,0.197968000,0.500000,43,45.481422,57347,0.0017,-0.117,2.479,0.897,-0.011,-0.047,0.021,-0.167,0.004,0.048,-0.350,0.296,-0.093,-0.109,2.488,0.991,1489,1505,1800,1506,0.114,0.099,2.176,1,75,0,0.000,0.000,0.011,0.011,0.009,0.010,0.095
173.623753000,0.198304000,0.510254,43,87.336243,57348,-0.0099,-0.117,2.478,0.897,0.002,-0.042,0.018,-0.169,0.006,0.047,-0.291,0.275,-0.101,-0.109,2.488,0.991,1490,1498,1850,1506,0.123,0.108,2.295,1,75,0,0.000,0.000,-0.002,-0.002,0.008,0.010,0.095
173.627775000,0.202326000,0.520020,43,3021.147949,57349,-0.0057,-0.116,2.478,0.897,0.014,-0.043,0.020,-0.175,0.009,0.048,-0.381,0.283,-0.044,-0.109,2.488,0.991,1489,1493,1857,1506,0.130,0.119,2.413,1,75,0,0.000,0.000,-0.014,-0.014,0.008,0.010,0.094
173.639704000,0.214255000,0.530273,43,248.818115,57350,0.0017,-0.116,2.478,0.897,0.021,-0.039,0.021,-0.183,0.013,0.049,-0.493,0.292,-0.007,-0.109,2.488,0.991,1490,1489,1856,1506,0.138,0.129,2.530,1,75,0,0.000,0.000,-0.021,-0.021,0.007,0.011,0.094
173.646694000,0.221245000,0.539551,43,83.878548,57351,-0.0023,-0.115,2.478,0.898,0.031,-0.034,0.026,-0.193,0.015,0.051,-0.639,0.285,0.050,-0.109,2.488,0.991,1491,1484,1854,1507,0.144,0.140,2.648,1,75,0,0.000,0.000,-0.031,-0.031,0.007,0.011,0.094
173.658115000,0.232666000,0.549805,43,143.225433,57352,0.0012,-0.115,2.477,0.898,0.038,-0.028,0.029,-0.204,0.018,0.052,-0.738,0.278,0.072,-0.109,2.488,0.991,1492,1480,1852,1507,0.151,0.151,2.764,1,75,0,0.000,0.000,-0.038,-0.038,0.006,0.011,0.093
173.667296000,0.241847000,0.560059,43,87.619385,57353,-0.0011,-0.114,2.478,0.898,0.047,-0.019,0.033,-0.217,0.021,0.053,-0.869,0.290,0.073,-0.109,2.488,0.991,1494,1476,1850,1507,0.156,0.162,2.881,1,75,0,0.000,0.000,-0.047,-0.047,0.005,0.011,0.093
173.677531000,0.252082000,0.570312,43,109.015587,57354,-0.0000,-0.113,2.478,0.899,0.054,-0.010,0.034,-0.231,0.025,0.053,-0.987,0.316,0.050,-0.109,2.488,0.991,1496,1472,1850,1507,0.161,0.172,2.996,1,75,0,0.000,0.000,-0.054,-0.054,0.005,0.011,0.093
