New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z
41.667444000,0.185517000,0.590820,43,102.343674,61984,0.0003,-0.081,2.471,0.918,-0.010,-0.017,0.003,-0.106,0.027,0.072,-0.002,-0.024,-0.153,-0.077,2.473,1.020,1496,1504,1750,1509,0.052,0.014,2.156,1,79,0,0.008,0.000,0.000,0.008,0.004,0.002,0.101
41.680482000,0.198555000,0.600586,43,98.970703,61985,0.0033,-0.081,2.471,0.918,-0.009,-0.018,0.001,-0.107,0.025,0.073,-0.031,-0.077,-0.095,-0.077,2.473,1.020,1496,1504,1800,1510,0.056,0.017,2.282,1,79,0,0.008,0.000,0.000,0.008,0.004,0.002,0.101
41.687456000,0.205529000,0.610840,43,76.745972,61986,-0.0033,-0.081,2.471,0.918,-0.006,-0.015,-0.001,-0.108,0.022,0.076,-0.040,-0.123,0.005,-0.077,2.473,1.020,1496,1503,1850,1510,0.060,0.019,2.409,1,79,0,0.008,0.000,0.000,0.008,0.004,0.002,0.101
41.699978000,0.218051000,0.621094,43,143.554413,61987,0.0023,-0.081,2.471,0.918,-0.005,-0.012,0.000,-0.109,0.019,0.080,-0.047,-0.166,0.103,-0.077,2.473,1.020,1497,1503,1872,1511,0.064,0.021,2.536,1,79,0,0.008,0.000,0.000,0.008,0.004,0.002,0.101
41.708242000,0.226315000,0.630371,43,79.904114,61988,-0.0010,-0.081,2.471,0.918,-0.005,-0.008,0.000,-0.109,0.017,0.084,-0.035,-0.187,0.187,-0.077,2.473,1.020,1498,1503,1871,1512,0.069,0.024,2.662,1,79,0,0.008,0.000,0.000,0.008,0.004,0.002,0.101
41.723730000,0.241803000,0.641357,43,121.109360,61989,0.0045,-0.081,2.471,0.918,-0.005,-0.008,0.000,-0.110,0.017,0.085,-0.056,-0.138,0.150,-0.077,2.473,1.020,1497,1503,1871,1512,0.073,0.026,2.789,1,79,0,0.008,0.000,0.000,0.008,0.004,0.002,0.101
41.741233000,0.259306000,0.650879,43,64.595314,61990,0.0080,-0.081,2.471,0.918,-0.003,-0.010,-0.002,-0.110,0.018,0.083,-0.040,-0.084,0.069,-0.077,2.473,1.020,1497,1502,1873,1511,0.077,0.029,2.916,1,79,0,0.008,0.000,0.000,0.008,0.004,0.003,0.101
41.751057000,0.269130000,0.660889,43,57.152657,61991,-0.0002,-0.081,2.471,0.918,-0.002,-0.011,-0.005,-0.110,0.019,0.081,-0.019,-0.022,-0.004,-0.077,2.473,1.020,1497,1502,1875,1511,0.081,0.031,3.043,1,79,0,0.008,0.000,0.000,0.008,0.004,0.003,0.102
41.751331000,0.269404000,0.670898,43,101.853737,61992,-0.0097,-0.081,2.471,0.918,-0.002,-0.009,-0.006,-0.109,0.021,0.077,0.005,0.015,-0.086,-0.077,2.473,1.020,1497,1502,1875,1510,0.085,0.034,3.170,1,79,0,0.008,0.000,0.000,0.008,0.004,0.003,0.102
41.755707000,0.273780000,0.679443,43,3731.343262,61993,-0.0042,-0.081,2.470,0.918,-0.002,-0.011,-0.006,-0.109,0.023,0.074,-0.006,0.072,-0.179,-0.077,2.473,1.020,1497,1502,1875,1510,0.090,0.037,3.297,1,79,0,0.008,0.000,0.000,0.008,0.004,0.003,0.102
