New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z
28.832707000,0.000277000,0.160156,43,51.802734,48252,-0.0003,-0.089,2.472,0.904,0.003,-0.006,0.016,-0.037,-0.013,0.073,-0.119,0.024,0.021,-0.102,2.865,1.060,1500,1500,900,1500,0.000,0.000,0.000,1,75,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28.855620000,0.023190000,0.168945,43,105.218857,48253,0.0141,-0.089,2.472,0.904,0.006,-0.004,0.012,-0.034,-0.014,0.073,0.002,-0.005,0.024,-0.102,2.865,1.060,1500,1500,900,1500,0.000,0.000,0.000,1,75,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28.861111000,0.028681000,0.179688,43,43.656685,48254,-0.0053,-0.089,2.472,0.904,0.007,-0.004,0.009,-0.031,-0.015,0.073,0.067,-0.030,0.022,-0.089,2.473,1.004,1499,1496,950,1510,-0.000,0.000,0.125,1,75,0,-0.000,-0.000,-0.007,-0.007,-0.000,0.000,0.100
28.861447000,0.029017000,0.190430,43,182.315399,48255,-0.0104,-0.089,2.472,0.905,0.003,-0.005,0.011,-0.034,-0.014,0.073,-0.009,0.000,0.020,-0.089,2.473,1.004,1499,1498,1000,1510,-0.000,0.000,0.249,1,75,0,-0.000,-0.000,-0.003,-0.004,-0.000,0.000,0.099
28.867434000,0.035004000,0.199219,43,3030.302979,48256,-0.0028,-0.089,2.472,0.905,0.006,-0.004,0.011,-0.033,-0.014,0.074,0.018,-0.001,0.024,-0.089,2.473,1.004,1499,1496,1050,1510,-0.000,0.001,0.373,1,75,0,-0.000,-0.000,-0.006,-0.006,-0.000,0.000,0.099
28.874756000,0.042326000,0.209961,43,167.140228,48257,-0.0034,-0.089,2.472,0.905,0.006,-0.004,0.010,-0.032,-0.015,0.073,0.040,-0.015,0.008,-0.089,2.473,1.004,1499,1497,1100,1510,-0.001,0.001,0.497,1,75,0,-0.000,-0.000,-0.006,-0.006,-0.000,0.000,0.099
28.884864000,0.052434000,0.219727,43,136.742783,48258,0.0003,-0.089,2.472,0.905,0.005,-0.004,0.010,-0.031,-0.015,0.073,0.034,-0.023,-0.000,-0.089,2.473,1.004,1499,1497,1150,1510,-0.001,0.001,0.621,1,75,0,-0.000,-0.000,-0.005,-0.006,-0.000,0.000,0.099
28.892673000,0.060243000,0.229492,43,99.009903,48259,-0.0020,-0.089,2.472,0.905,0.004,-0.003,0.009,-0.032,-0.016,0.073,0.020,-0.028,-0.005,-0.089,2.473,1.004,1499,1497,1200,1510,-0.001,0.002,0.745,1,75,0,-0.000,-0.000,-0.004,-0.004,-0.000,0.000,0.099
28.903118000,0.070688000,0.240234,43,128.139420,48260,-0.0003,-0.089,2.472,0.905,0.000,-0.003,0.011,-0.035,-0.014,0.072,-0.062,0.013,-0.012,-0.089,2.473,1.004,1499,1499,1250,1510,-0.002,0.002,0.868,1,75,0,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.099
28.914421000,0.081991000,0.250000,43,95.812973,48261,0.0015,-0.089,2.472,0.905,0.004,-0.001,0.010,-0.033,-0.015,0.072,0.002,-0.003,-0.014,-0.089,2.473,1.004,1499,1497,1300,1510,-0.002,0.002,0.992,1,75,0,-0.001,-0.000,-0.004,-0.005,-0.000,0.000,0.099
