New control log.
Raw c time,robot_local_time,global time,data size,frequency,received_sequence_number,latency,x,y,z,dx,dy,dz,pitch,roll,yaw,dpitch,droll,dyaw,setx,sety,setz,u_roll,u_pitch,u_z,u_yaw,int_x,int_y,int_z,count_delta,voltage,error,P_term_pos_x,I_term_pos_x,D_term_pos_x,desired_velocity_x,error_pos_x,error_pos_y,error_pos_z
138.072768000,0.003072000,0.219727,43,115.287064,20885,-0.0062,-0.092,2.479,0.893,0.011,-0.019,0.055,0.007,-0.014,0.055,0.032,-0.101,0.064,-0.100,2.842,1.104,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
138.083169000,0.013473000,0.229980,43,277.854950,20886,0.0001,-0.092,2.479,0.894,0.013,-0.017,0.053,0.008,-0.015,0.055,0.058,-0.104,0.047,-0.100,2.842,1.104,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
138.094778000,0.025082000,0.240234,43,96.200096,20887,0.0013,-0.091,2.478,0.894,0.014,-0.017,0.051,0.010,-0.017,0.054,0.083,-0.121,0.009,-0.100,2.842,1.104,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
138.117931000,0.048235000,0.250000,43,86.192039,20888,0.0134,-0.091,2.478,0.895,0.019,-0.017,0.051,0.010,-0.017,0.053,0.075,-0.107,-0.023,-0.100,2.842,1.104,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
138.118254000,0.048558000,0.260254,43,43.204010,20889,-0.0099,-0.091,2.478,0.895,0.022,-0.016,0.051,0.009,-0.016,0.051,0.034,-0.057,-0.050,-0.100,2.842,1.104,1500,1500,900,1500,0.000,0.000,0.000,1,76,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000
138.123057000,0.053361000,0.269531,43,3144.654053,20890,-0.0045,-0.090,2.478,0.896,0.025,-0.016,0.051,0.007,-0.016,0.050,-0.038,-0.017,-0.085,-0.092,2.479,0.992,1496,1493,950,1506,-0.002,0.001,0.121,1,76,0,-0.000,-0.000,-0.000,-0.000,-0.002,0.001,0.097
138.135219000,0.065523000,0.279785,43,208.333328,20891,0.0019,-0.090,2.478,0.896,0.028,-0.015,0.049,0.006,-0.017,0.047,-0.044,-0.049,-0.121,-0.092,2.479,0.992,1497,1492,1000,1506,-0.004,0.002,0.241,1,76,0,-0.000,-0.000,-0.000,-0.000,-0.002,0.001,0.096
138.143273000,0.073577000,0.290039,43,82.263901,20892,-0.0022,-0.090,2.478,0.897,0.031,-0.012,0.046,0.005,-0.019,0.047,-0.059,-0.080,-0.105,-0.092,2.479,0.992,1497,1492,1050,1506,-0.006,0.003,0.360,1,76,0,-0.000,-0.000,-0.000,-0.000,-0.002,0.001,0.096
138.161523000,0.091827000,0.299805,43,124.254471,20893,0.0085,-0.089,2.478,0.897,0.034,-0.010,0.044,0.003,-0.019,0.047,-0.092,-0.055,-0.081,-0.092,2.479,0.992,1497,1491,1100,1506,-0.009,0.005,0.480,1,76,0,-0.000,-0.000,-0.000,-0.000,-0.003,0.001,0.095
138.177761000,0.108065000,0.309570,43,54.809536,20894,0.0065,-0.089,2.478,0.897,0.037,-0.009,0.044,0.001,-0.018,0.046,-0.123,-0.024,-0.085,-0.092,2.479,0.992,1498,1490,1150,1506,-0.012,0.006,0.598,1,76,0,-0.000,-0.000,-0.000,-0.000,-0.003,0.001,0.095
